M,kd,beta,p,Ff,FT,mf,mT,eps_thin,eps_lna,thin_pred,lna_pred,CV2f,thin_err,lna_err,hybrid_pred,hyb_err
28,3.0,1.0,0.2970181071562476,3.2951715021065078,4.99999999999281,1.683492999624545,9.999999999999478,0.0967741935483871,0.22357599524292646,1.3870967741928526,1.894303980971706,1.957341968657667,-0.8313429851156764,-0.6103541804388413,1.8943039809700983,-0.6103541804395417
39,3.0,1.0,0.22869173328923884,2.2818701314804217,4.99999999999281,1.0810224017191632,9.999999999999478,0.07142857142857142,0.13580165560296203,1.2857142857137722,1.5432066224118481,2.11084444489914,-0.7771113635483471,-0.5762389581661419,1.5432066224108718,-0.5762389581669036
54,3.0,1.0,0.1721105389106129,1.6342148775079617,4.99999999999281,0.706030898826381,9.999999999999478,0.05263157894736842,0.08404719548213421,1.2105263157890953,1.336188781928537,2.314650648044554,-0.6680520699603858,-0.4699134412463911,1.3361887819279326,-0.46991344124734413
74,3.0,1.0,0.12865608118185276,1.3311216405584008,4.99999999999281,0.47944999254237414,9.999999999999478,0.03896103896103896,0.05463740778034256,1.1558441558438757,1.2185496311213702,2.776351363569487,-0.529344697673455,-0.3399717676174535,1.2185496311209774,-0.3399717676186398
103,3.0,1.0,0.09391096176178193,1.187685947612318,4.99999999999281,0.3271709385359397,9.999999999999478,0.02830188679245283,0.03598600765922569,1.113207547169608,1.1439440306369026,3.630169454925016,-0.3968245965678362,-0.23305909436421002,1.143944030636644,-0.23305909436558825
144,3.0,1.0,0.06787552883981572,1.1153475725166913,4.99999999999281,0.2259238470660136,9.999999999999478,0.02040816326530612,0.02419771064880979,1.0816326530610778,1.096790842595239,4.936829763662768,-0.2922898048048195,-0.16087664019775494,1.0967908425950652,-0.16087664019926218
200,3.0,1.0,0.04920572284034413,1.075300232190364,4.99999999999281,0.15885543193065182,9.999999999999478,0.014778325123152709,0.016693931171238966,1.0591133004925046,1.0667757246849559,6.76904918592765,-0.21496522954853192,-0.1132069219103814,1.066775724684836,-0.11320692191197368
277,3.0,1.0,0.03569376599743088,1.0508769543729537,4.99999999999281,0.11282681871112447,9.999999999999478,0.010714285714285714,0.01169542565957464,1.0428571428570659,1.0467817026382986,9.31407059400975,-0.15763151734867153,-0.0804932564287324,1.0467817026382145,-0.08049325643038652
385,3.0,1.0,0.025765636305439626,1.034935486405659,4.99999999999281,0.08023002240522245,9.999999999999478,0.007731958762886598,0.008233440064497981,1.0309278350514908,1.032933760257992,12.899603606969594,-0.11471577374457487,-0.05729778954337894,1.0329337602579327,-0.05729778954507592
535,3.0,1.0,0.018584564929036186,1.0243300398091233,4.99999999999281,0.0572577629651176,9.999999999999478,0.0055762081784386614,0.005833569898698096,1.0223048327137145,1.0233342795947924,17.88980195459544,-0.08323895527081515,-0.04092719215188079,1.0233342795947504,-0.04092719215360574
