kind,case,kd,M,p,xf,g
meanfield,iteron,300.0,50,0.3765246170202008,181.17376914898995,0.93915503282684
meanfield,decoy,300.0,55,0.37423972124828786,179.41681533134414,1.0400580721859523
meanfield,iteron,300.0,55,0.37423972124828786,179.41681533134414,0.933019535356304
meanfield,decoy,300.0,62,0.37106151643544694,176.99418598100232,1.0445859156312378
meanfield,iteron,300.0,62,0.37106151643544694,176.99418598100232,0.9244281691218544
meanfield,decoy,300.0,69,0.367907869663754,174.614356993201,1.0489854041693745
meanfield,iteron,300.0,69,0.367907869663754,174.614356993201,0.9158395592214418
meanfield,decoy,300.0,77,0.3643343941193216,171.94625165281224,1.053857078320683
meanfield,iteron,300.0,77,0.3643343941193216,171.94625165281224,0.9060338719751282
meanfield,decoy,300.0,86,0.3603541649885975,169.00954181098064,1.0591399419555807
meanfield,iteron,300.0,86,0.3603541649885975,169.00954181098064,0.8950237815181065
meanfield,decoy,300.0,96,0.3559822912815086,165.82570003697515,1.0647668137680204
meanfield,iteron,300.0,96,0.3559822912815086,165.82570003697515,0.8828285113461078
meanfield,decoy,300.0,107,0.3512359771799211,162.4177504417484,1.0706651765363897
meanfield,iteron,300.0,107,0.3512359771799211,162.4177504417484,0.8694751472467894
meanfield,decoy,300.0,119,0.3461345493062886,158.80998863255166,1.0767582518589305
meanfield,iteron,300.0,119,0.3461345493062886,158.80998863255166,0.8549998286886147
meanfield,decoy,300.0,133,0.34028533402437006,154.74205057475876,1.083427236538988
meanfield,iteron,300.0,133,0.34028533402437006,154.74205057475876,0.8382587611529363
meanfield,decoy,300.0,148,0.3341425712543546,150.54689945435553,1.0900631197145723
meanfield,iteron,300.0,148,0.3341425712543546,150.54689945435553,0.8205281144128541
meanfield,decoy,300.0,165,0.32733801334030055,145.98922779885044,1.096971025823952
meanfield,iteron,300.0,165,0.32733801334030055,145.98922779885044,0.8007297648887578
meanfield,decoy,300.0,185,0.31954824877276156,140.88357397703913,1.1043046094615045
meanfield,iteron,300.0,185,0.31954824877276156,140.88357397703913,0.7778919007012759
meanfield,decoy,300.0,206,0.3116205661692434,135.8061633691359,1.1111365420356616
meanfield,iteron,300.0,206,0.3116205661692434,135.8061633691359,0.7544959537655588
meanfield,decoy,300.0,230,0.30287483255457753,130.3387885124472,1.1179344098999324
meanfield,iteron,300.0,230,0.30287483255457753,130.3387885124472,0.7285510831136737
meanfield,decoy,300.0,256,0.29377476908364913,124.79365911458581,1.1241874435305694
meanfield,iteron,300.0,256,0.29377476908364913,124.79365911458581,0.7014573230442579
meanfield,decoy,300.0,286,0.2837492333996073,118.84771924771229,1.13011523853382
meanfield,iteron,300.0,286,0.2837492333996073,118.84771924771229,0.6715580929341444
meanfield,decoy,300.0,319,0.2732912073206469,112.82010486471364,1.1352380658536303
meanfield,iteron,300.0,319,0.2732912073206469,112.82010486471364,0.6403883881801063
meanfield,decoy,300.0,356,0.26224689554031505,106.6401051876478,1.1394929856957834
meanfield,iteron,300.0,356,0.26224689554031505,106.6401051876478,0.6075782592759262
meanfield,decoy,300.0,397,0.2508056659868001,100.43015060324035,1.142678769983936
meanfield,iteron,300.0,397,0.2508056659868001,100.43015060324035,0.5737970048030606
meanfield,decoy,300.0,442,0.2391498403280017,94.2957705750232,1.1446830731965285
meanfield,iteron,300.0,442,0.2391498403280017,94.2957705750232,0.5396938622562618
meanfield,decoy,300.0,493,0.22699063551379903,88.09361669169704,1.1454865323441012
meanfield,iteron,300.0,493,0.22699063551379903,88.09361669169704,0.5045502575291125
meanfield,decoy,300.0,550,0.21459906381364968,81.97051490249265,1.1450098726756488
meanfield,iteron,300.0,550,0.21459906381364968,81.97051490249265,0.4692852441583025
meanfield,decoy,300.0,614,0.2020296284043717,75.95380815971583,1.1432556886005305
meanfield,iteron,300.0,614,0.2020296284043717,75.95380815971583,0.43417311624734245
meanfield,decoy,300.0,685,0.18954433030159912,70.16213374340458,1.1403160716936955
meanfield,iteron,300.0,685,0.18954433030159912,70.16213374340458,0.40003504365963405
meanfield,decoy,300.0,764,0.17720873689369906,64.61252501321388,1.1363109750234186
meanfield,iteron,300.0,764,0.17720873689369906,64.61252501321388,0.3670996064824505
meanfield,decoy,300.0,852,0.1651080553097657,59.327936876079775,1.1313886810623184
meanfield,iteron,300.0,852,0.1651080553097657,59.327936876079775,0.33561478126188166
meanfield,decoy,300.0,951,0.15322328254473302,54.28465829995878,1.1256633300088579
meanfield,iteron,300.0,951,0.15322328254473302,54.28465829995878,0.3055312461516231
meanfield,decoy,300.0,1060,0.14188391552086058,49.603049547887736,1.119437914540051
meanfield,iteron,300.0,1060,0.14188391552086058,49.603049547887736,0.2776376717035714
meanfield,decoy,300.0,1183,0.130875082451235,45.17477746018892,1.112735480916064
meanfield,iteron,300.0,1183,0.130875082451235,45.17477746018892,0.2513378886121975
meanfield,decoy,300.0,1319,0.12047515894050263,41.093265357477094,1.105854090342019
meanfield,iteron,300.0,1319,0.12047515894050263,41.093265357477094,0.2272157779053801
meanfield,decoy,300.0,1472,0.11054098558603252,37.2836692173604,1.0988215464891484
meanfield,iteron,300.0,1472,0.11054098558603252,37.2836692173604,0.20484049534104876
